Cocktail Name,Ingredients,Directions,Popularity Rank,Cocktail Image URL,Cocktail Image Path,Ingredient Name,Ingredient Image URL,Ingredient Image Path
Avalon,"Vodka, Pisang Ambon, Apple juice, Lemon juice, Lemonade","Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.","Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.",https://www.thecocktaildb.com/images/media/drink/3k9qic1493068931.jpg,/Users/yam/git-projects/pourify/Cocktail_Avalon.jpg,Vodka,https://www.thecocktaildb.com/images/ingredients/vodka.png,/Users/yam/git-projects/pourify/Ingredient_Vodka.jpg
Avalon,"Vodka, Pisang Ambon, Apple juice, Lemon juice, Lemonade","Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.","Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.",https://www.thecocktaildb.com/images/media/drink/3k9qic1493068931.jpg,/Users/yam/git-projects/pourify/Cocktail_Avalon.jpg,Pisang Ambon,https://www.thecocktaildb.com/images/ingredients/pisang ambon.png,/Users/yam/git-projects/pourify/Ingredient_Pisang Ambon.jpg
Avalon,"Vodka, Pisang Ambon, Apple juice, Lemon juice, Lemonade","Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.","Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.",https://www.thecocktaildb.com/images/media/drink/3k9qic1493068931.jpg,/Users/yam/git-projects/pourify/Cocktail_Avalon.jpg,Apple juice,https://www.thecocktaildb.com/images/ingredients/apple juice.png,/Users/yam/git-projects/pourify/Ingredient_Apple juice.jpg
Avalon,"Vodka, Pisang Ambon, Apple juice, Lemon juice, Lemonade","Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.","Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.",https://www.thecocktaildb.com/images/media/drink/3k9qic1493068931.jpg,/Users/yam/git-projects/pourify/Cocktail_Avalon.jpg,Lemon juice,https://www.thecocktaildb.com/images/ingredients/lemon juice.png,/Users/yam/git-projects/pourify/Ingredient_Lemon juice.jpg
Avalon,"Vodka, Pisang Ambon, Apple juice, Lemon juice, Lemonade","Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.","Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.",https://www.thecocktaildb.com/images/media/drink/3k9qic1493068931.jpg,/Users/yam/git-projects/pourify/Cocktail_Avalon.jpg,Lemonade,https://www.thecocktaildb.com/images/ingredients/lemonade.png,/Users/yam/git-projects/pourify/Ingredient_Lemonade.jpg
Abilene,"Dark rum, Peach nectar, Orange juice",Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,https://www.thecocktaildb.com/images/media/drink/smb2oe1582479072.jpg,/Users/yam/git-projects/pourify/Cocktail_Abilene.jpg,Dark rum,https://www.thecocktaildb.com/images/ingredients/dark rum.png,/Users/yam/git-projects/pourify/Ingredient_Dark rum.jpg
Abilene,"Dark rum, Peach nectar, Orange juice",Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,https://www.thecocktaildb.com/images/media/drink/smb2oe1582479072.jpg,/Users/yam/git-projects/pourify/Cocktail_Abilene.jpg,Peach nectar,https://www.thecocktaildb.com/images/ingredients/peach nectar.png,/Users/yam/git-projects/pourify/Ingredient_Peach nectar.jpg
Abilene,"Dark rum, Peach nectar, Orange juice",Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,https://www.thecocktaildb.com/images/media/drink/smb2oe1582479072.jpg,/Users/yam/git-projects/pourify/Cocktail_Abilene.jpg,Orange juice,https://www.thecocktaildb.com/images/ingredients/orange juice.png,/Users/yam/git-projects/pourify/Ingredient_Orange juice.jpg
Addison,"Gin, Vermouth",Shake together all the ingredients and strain into a cold glass.,Shake together all the ingredients and strain into a cold glass.,https://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg,/Users/yam/git-projects/pourify/Cocktail_Addison.jpg,Gin,https://www.thecocktaildb.com/images/ingredients/gin.png,/Users/yam/git-projects/pourify/Ingredient_Gin.jpg
Addison,"Gin, Vermouth",Shake together all the ingredients and strain into a cold glass.,Shake together all the ingredients and strain into a cold glass.,https://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg,/Users/yam/git-projects/pourify/Cocktail_Addison.jpg,Vermouth,https://www.thecocktaildb.com/images/ingredients/vermouth.png,/Users/yam/git-projects/pourify/Ingredient_Vermouth.jpg
Almeria,"Dark rum, Kahlua, Egg white","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/rwsyyu1483388181.jpg,/Users/yam/git-projects/pourify/Cocktail_Almeria.jpg,Dark rum,https://www.thecocktaildb.com/images/ingredients/dark rum.png,/Users/yam/git-projects/pourify/Ingredient_Dark rum.jpg
Almeria,"Dark rum, Kahlua, Egg white","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/rwsyyu1483388181.jpg,/Users/yam/git-projects/pourify/Cocktail_Almeria.jpg,Kahlua,https://www.thecocktaildb.com/images/ingredients/kahlua.png,/Users/yam/git-projects/pourify/Ingredient_Kahlua.jpg
Almeria,"Dark rum, Kahlua, Egg white","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/rwsyyu1483388181.jpg,/Users/yam/git-projects/pourify/Cocktail_Almeria.jpg,Egg white,https://www.thecocktaildb.com/images/ingredients/egg white.png,/Users/yam/git-projects/pourify/Ingredient_Egg white.jpg
Acapulco,"Light rum, Triple sec, Lime juice, Sugar, Egg white, Mint",Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,https://www.thecocktaildb.com/images/media/drink/il9e0r1582478841.jpg,/Users/yam/git-projects/pourify/Cocktail_Acapulco.jpg,Light rum,https://www.thecocktaildb.com/images/ingredients/light rum.png,/Users/yam/git-projects/pourify/Ingredient_Light rum.jpg
Acapulco,"Light rum, Triple sec, Lime juice, Sugar, Egg white, Mint",Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,https://www.thecocktaildb.com/images/media/drink/il9e0r1582478841.jpg,/Users/yam/git-projects/pourify/Cocktail_Acapulco.jpg,Triple sec,https://www.thecocktaildb.com/images/ingredients/triple sec.png,/Users/yam/git-projects/pourify/Ingredient_Triple sec.jpg
Acapulco,"Light rum, Triple sec, Lime juice, Sugar, Egg white, Mint",Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,https://www.thecocktaildb.com/images/media/drink/il9e0r1582478841.jpg,/Users/yam/git-projects/pourify/Cocktail_Acapulco.jpg,Lime juice,https://www.thecocktaildb.com/images/ingredients/lime juice.png,/Users/yam/git-projects/pourify/Ingredient_Lime juice.jpg
Acapulco,"Light rum, Triple sec, Lime juice, Sugar, Egg white, Mint",Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,https://www.thecocktaildb.com/images/media/drink/il9e0r1582478841.jpg,/Users/yam/git-projects/pourify/Cocktail_Acapulco.jpg,Sugar,https://www.thecocktaildb.com/images/ingredients/sugar.png,/Users/yam/git-projects/pourify/Ingredient_Sugar.jpg
Acapulco,"Light rum, Triple sec, Lime juice, Sugar, Egg white, Mint",Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,https://www.thecocktaildb.com/images/media/drink/il9e0r1582478841.jpg,/Users/yam/git-projects/pourify/Cocktail_Acapulco.jpg,Egg white,https://www.thecocktaildb.com/images/ingredients/egg white.png,/Users/yam/git-projects/pourify/Ingredient_Egg white.jpg
Acapulco,"Light rum, Triple sec, Lime juice, Sugar, Egg white, Mint",Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,https://www.thecocktaildb.com/images/media/drink/il9e0r1582478841.jpg,/Users/yam/git-projects/pourify/Cocktail_Acapulco.jpg,Mint,https://www.thecocktaildb.com/images/ingredients/mint.png,/Users/yam/git-projects/pourify/Ingredient_Mint.jpg
Affinity,"Scotch, Sweet Vermouth, Dry Vermouth, Orange bitters","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/wzdtnn1582477684.jpg,/Users/yam/git-projects/pourify/Cocktail_Affinity.jpg,Scotch,https://www.thecocktaildb.com/images/ingredients/scotch.png,/Users/yam/git-projects/pourify/Ingredient_Scotch.jpg
